id,outcome
4449,0
4450,0
4451,0
4452,0
4453,0
4454,0
4455,0
4456,0
4457,0
4458,0
4459,0
4460,0
4461,0
4462,0
4463,0
4464,0
4465,0
4466,0
4467,0
4468,0
4469,0
4470,0
4471,0
4472,0
4473,0
4474,0
4475,0
4476,0
4477,0
4478,0
4479,0
4480,0
4481,0
4482,0
4483,0
4484,0
4485,0
4486,0
4487,0
4488,0
4489,0
4490,0
4491,0
4492,0
4493,0
4494,0
4495,0
4496,0
4497,0
4498,0
4509,0
4510,0
4511,0
4512,0
4513,0
4514,0
4515,0
4516,0
4517,0
4518,0
4519,0
4520,0
4521,0
4522,0
4523,0
4524,0
4525,0
4526,0
4527,0
4528,0
4529,0
4530,0
4531,0
4532,0
4533,0
4534,0
4535,0
4536,0
4537,0
4538,0
4539,0
4540,0
4541,0
4542,0
4543,0
4544,0
4545,0
4546,0
4547,0
4548,0
4549,0
4550,0
4551,0
4552,0
4553,0
4554,0
4555,0
4556,0
4557,0
4558,0
4559,0
4560,0
4561,0
4562,0
4563,0
4564,0
4565,0
4566,0
4567,0
4568,0
4569,0
4570,0
4571,0
4572,0
4573,0
4574,0
4575,0
4576,0
4577,0
4578,0
4579,0
4580,0
4581,0
4582,0
4583,0
4584,0
4585,0
4586,0
4587,0
4588,0
4589,0
4590,0
4591,0
4592,0
4593,0
4594,0
4595,0
4596,0
4597,0
4598,0
4599,0
4600,0
4601,0
4602,0
4603,0
4604,0
4605,0
4606,0
4607,0
4608,0
4619,0
4620,-1
4621,0
4622,0
4623,0
4624,0
4625,-1
4626,0
4627,0
4628,0
4629,0
4630,0
4631,0
4632,0
4633,0
4634,0
4635,0
4636,0
4637,0
4638,0
4639,0
4640,-1
4641,-1
4642,0
4643,0
4644,0
4645,0
4646,0
4647,0
4648,0
4649,-1
4650,0
4651,0
4652,0
4653,0
4654,-1
4655,-1
4656,0
4657,-1
4658,-1
4659,0
4660,-1
4661,-1
4662,-1
4663,0
4664,0
4665,0
4666,0
4667,-1
4668,0
4669,-1
4670,-1
4671,-1
4672,0
4673,0
4674,0
4675,0
4676,-1
4677,0
4678,-1
4679,0
4680,-1
4681,0
4682,0
4683,0
4684,-1
4685,-1
4686,-1
4687,0
4688,-1
4689,-1
4690,0
4691,0
4692,0
4693,0
4694,-1
4695,-1
4696,-1
4697,0
4698,0
4699,0
4700,-1
4701,0
4702,0
4703,-1
4704,0
4705,-1
4706,-1
4707,0
4708,-1
